DayType_i,Hour,Air Temperature (degC),Energy Demand (kWh),Irradiance (W/m2),DUoS export (GBP/kWh),DUoS import (GBP/kWh),Wholesale (GBP/kWh),Misc (GBP/kWh),Export Price (GBP/kWh),Import Price (GBP/kWh),DRH (GBP/MW/hr),DRL (GBP/MW/hr)
1,0,1.9348782608695654,75.72118516513768,0.0,0.00032,0.00035,0.05816260869565216,0.16,0.05848260869565216,0.21851260869565217,-3.536086956521739,8.640434782608695
1,1,1.9027304347826086,84.58695301080435,0.0,0.00032,0.00035,0.056872173913043465,0.16,0.05719217391304347,0.21722217391304346,-3.536086956521739,8.640434782608695
1,2,1.886617391304348,83.58443949785298,0.0,0.00032,0.00035,0.052463478260869556,0.16,0.05278347826086956,0.21281347826086955,-3.536086956521739,8.640434782608695
1,3,1.8808521739130435,87.33226243678178,0.0,0.00032,0.00035,0.05105695652173912,0.16,0.05137695652173912,0.21140695652173913,-3.536086956521739,8.640434782608695
1,4,1.845913043478261,82.94242811887919,0.0,0.00032,0.00035,0.052010434782608694,0.16,0.052330434782608695,0.2123604347826087,-5.900434782608696,10.586521739130434
1,5,1.7909043478260869,84.73726565788407,0.0,0.00032,0.00035,0.06037478260869565,0.16,0.06069478260869565,0.22072478260869566,-5.900434782608696,10.586521739130434
1,6,1.7566782608695655,116.2381568636884,0.0,0.00032,0.00035,0.07294739130434781,0.16,0.07326739130434781,0.23329739130434785,-5.900434782608696,10.586521739130434
1,7,1.7133913043478262,116.73140817650001,0.0,0.00667,0.00745,0.08327652173913043,0.16,0.08994652173913043,0.2507265217391304,-5.900434782608696,10.586521739130434
1,8,1.691991304347826,109.9745391396884,2.0776434782608697,0.00667,0.00745,0.08460173913043477,0.16,0.09127173913043475,0.25205173913043477,-6.800869565217392,10.270434782608696
1,9,2.0299391304347827,116.01885969858611,27.597686956521738,0.00667,0.00745,0.08253434782608694,0.16,0.08920434782608691,0.24998434782608694,-6.800869565217392,10.270434782608696
1,10,2.682486956521739,114.38079358582608,67.99914782608695,0.00667,0.00745,0.07872043478260869,0.16,0.08539043478260867,0.24617043478260867,-6.800869565217392,10.270434782608696
1,11,3.1816782608695653,115.8306640259101,97.01758260869565,0.00667,0.00745,0.07291565217391302,0.16,0.079585652173913,0.24036565217391304,-6.800869565217392,10.270434782608696
1,12,3.443373913043478,121.58316108947827,105.1630347826087,0.00667,0.00745,0.07276260869565217,0.16,0.07943260869565213,0.24021260869565217,-5.310434782608696,13.656521739130437
1,13,3.4396,124.51059870285508,88.2184,0.00667,0.00745,0.07547565217391304,0.16,0.08214565217391302,0.24292565217391307,-5.310434782608696,13.656521739130437
1,14,3.103234782608696,117.67097903269566,52.6433652173913,0.00667,0.00745,0.07802086956521738,0.16,0.08469086956521736,0.2454708695652174,-5.310434782608696,13.656521739130437
1,15,2.5212434782608697,118.40630556611595,13.271052173913043,0.00667,0.00745,0.08163608695652173,0.16,0.0883060869565217,0.24908608695652174,-5.310434782608696,13.656521739130437
1,16,2.169513043478261,113.39366769621014,0.16141739130434782,0.00667,0.00745,0.09251521739130433,0.16,0.09918521739130431,0.25996521739130435,-7.028260869565218,10.691739130434783
1,17,2.0783565217391304,110.7047687656511,0.0,0.05743,0.06809,0.09772478260869563,0.16,0.15515478260869564,0.3258147826086956,-7.028260869565218,10.691739130434783
1,18,2.045017391304348,108.45337078279151,0.0,0.05743,0.06809,0.09010956521739129,0.16,0.14753956521739128,0.3181995652173913,-7.028260869565218,10.691739130434783
1,19,1.9826521739130434,116.10255095870632,0.0,0.05743,0.06809,0.08427478260869564,0.16,0.14170478260869565,0.31236478260869566,-7.028260869565218,10.691739130434783
1,20,1.9248608695652174,110.8631942903066,0.0,0.00667,0.00745,0.07544521739130433,0.16,0.08211521739130431,0.24289521739130432,-5.94,9.172173913043478
1,21,1.8536695652173913,105.14734109685509,0.0,0.00667,0.00745,0.07150695652173912,0.16,0.0781769565217391,0.23895695652173912,-5.94,9.172173913043478
1,22,1.7877652173913043,75.13890387624637,0.0,0.00032,0.00035,0.06336086956521739,0.16,0.06368086956521739,0.22371086956521738,-5.94,9.172173913043478
1,23,1.750478260869565,67.3655129919058,0.0,0.00032,0.00035,0.059389999999999984,0.16,0.05971,0.21974,-5.94,9.172173913043478
2,0,1.60545,72.31673393633334,0.0,0.00032,0.00035,0.06881124999999999,0.16,0.06913125,0.22916124999999998,-5.955,8.7275
2,1,1.642125,81.047110132,0.0,0.00032,0.00035,0.06580625,0.16,0.06612625,0.22615625,-5.955,8.7275
2,2,1.677425,84.50212709387228,0.0,0.00032,0.00035,0.06104749999999999,0.16,0.06136749999999999,0.2213975,-5.955,8.7275
2,3,1.7333,93.2956026514832,0.0,0.00032,0.00035,0.058007500000000004,0.16,0.0583275,0.2183575,-5.955,8.7275
2,4,1.72275,86.98158400672916,0.0,0.00032,0.00035,0.05684124999999999,0.16,0.057161250000000004,0.21719125,-6.1362499999999995,9.19375
2,5,1.6929750000000001,85.99039901914583,0.0,0.00032,0.00035,0.05683625,0.16,0.05715625,0.21718625,-6.1362499999999995,9.19375
2,6,1.684425,111.37923630487501,0.0,0.00032,0.00035,0.060693749999999984,0.16,0.061013749999999985,0.22104375,-6.1362499999999995,9.19375
2,7,1.696375,116.95424682466667,0.0,0.00032,0.00035,0.06439874999999999,0.16,0.06471874999999999,0.22474875,-6.1362499999999995,9.19375
2,8,1.77955,107.91072568775,1.772725,0.00032,0.00035,0.06937375,0.16,0.06969375,0.22972375,-6.44625,8.85875
2,9,2.14955,111.340798840875,25.887425,0.00032,0.00035,0.07042499999999999,0.16,0.07074499999999999,0.230775,-6.44625,8.85875
2,10,2.789525,118.72011451752084,62.165725,0.00667,0.00745,0.07048999999999998,0.16,0.07715999999999998,0.23794,-6.44625,8.85875
2,11,3.2994000000000003,118.405330212125,89.909325,0.00667,0.00745,0.07056375,0.16,0.07723375,0.23801375,-6.44625,8.85875
